,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,Total
1,0,1,0,0,152,1,1,3,142,12,0,3,0,0,60,7,9,3,62,11,1,33,2,1,2,5,9,0,27,3,550
2,0,0,0,102,0,2,10,145,0,27,5,68,1,1,53,0,0,16,2,0,13,15,18,38,57,3,0,7,2,5,590
3,1,0,91,2,0,12,83,0,0,24,81,5,12,29,2,0,72,10,0,6,6,28,2,45,16,23,30,23,10,41,654
4,161,0,11,66,0,85,7,0,0,20,8,3,81,6,0,9,1,67,1,2,44,9,25,1,1,19,5,0,1,1,634
5,2,185,2,0,0,4,0,0,5,6,0,1,5,38,0,83,1,5,8,65,6,0,22,0,0,0,20,38,11,10,517
Total,164,186,104,170,152,104,101,148,147,89,94,80,99,74,115,99,83,101,73,84,70,85,69,85,76,50,64,68,51,60,2945
