"replicate","prior","correlation","mse","centers"
"1","proportions",0.9,1.00808112699366,"1"
"1","proportions",1,1.0030585734114,"1"
"1","proportions",-1,0.363936690164355,"2"
"1","proportions",-0.9,0.494963220838455,"2"
"1","proportions",-0.8,0.628867466148634,"2"
"1","proportions",-0.7,0.753586664392234,"2"
"1","proportions",-0.6,0.87654825959614,"2"
"1","proportions",-0.5,1.00746144852647,"2"
"1","proportions",-0.4,1.13646792758019,"2"
"1","proportions",-0.3,1.25775076158117,"2"
"1","proportions",-0.2,1.38525896204092,"2"
"1","proportions",-0.1,1.51561187664142,"2"
"1","proportions",0,1.62864204910416,"2"
"1","proportions",0.1,1.4960570148281,"2"
"1","proportions",0.2,1.38050315387744,"2"
"1","proportions",0.3,1.25235192373951,"2"
"1","proportions",0.4,1.12793023711066,"2"
"1","proportions",0.5,0.997884823233858,"2"
"1","proportions",0.6,0.872927072495558,"2"
"1","proportions",0.7,0.7388017742909,"2"
"1","proportions",0.8,0.608426559110401,"2"
"1","proportions",0.9,0.483865410038913,"2"
"1","proportions",1,0.358750403912086,"2"
"1","proportions",-1,0.192367181540807,"3"
"1","proportions",-0.9,0.347211220697178,"3"
"1","proportions",-0.8,0.497378039556159,"3"
"1","proportions",-0.7,0.638746089654357,"3"
"1","proportions",-0.6,0.772982718909953,"3"
"1","proportions",-0.5,0.881776844624244,"3"
"1","proportions",-0.4,0.9704536026968,"3"
"1","proportions",-0.3,1.01489752096384,"3"
"1","proportions",-0.2,1.02656715646991,"3"
"1","proportions",-0.1,1.01366337231399,"3"
"1","proportions",0,1.01335430635397,"3"
"1","proportions",0.1,1.01442326358157,"3"
"1","proportions",0.2,1.02264564328382,"3"
"1","proportions",0.3,1.01728481124644,"3"
"1","proportions",0.4,0.972498733677387,"3"
"1","proportions",0.5,0.880392343189047,"3"
"1","proportions",0.6,0.76990214725275,"3"
"1","proportions",0.7,0.648465750547137,"3"
"1","proportions",0.8,0.504965345885402,"3"
"1","proportions",0.9,0.355072633468931,"3"
"1","proportions",1,0.193917744744745,"3"
"1","proportions",-1,0.121569275899683,"4"
"1","proportions",-0.9,0.294383825536985,"4"
"1","proportions",-0.8,0.454932667933024,"4"
"1","proportions",-0.7,0.602020064673794,"4"
"1","proportions",-0.6,0.742327383453622,"4"
"1","proportions",-0.5,0.856376753055842,"4"
"1","proportions",-0.4,0.95316790753538,"4"
"1","proportions",-0.3,1.02180402656979,"4"
"1","proportions",-0.2,1.07378054139852,"4"
"1","proportions",-0.1,1.13423589673715,"4"
"1","proportions",0,1.15997952285576,"4"
"1","proportions",0.1,1.13459728130829,"4"
"1","proportions",0.2,1.07054082568597,"4"
"1","proportions",0.3,1.00937735946066,"4"
"1","proportions",0.4,0.946999055063574,"4"
"1","proportions",0.5,0.845364274667565,"4"
"1","proportions",0.6,0.733933204040565,"4"
"1","proportions",0.7,0.591991175358641,"4"
"1","proportions",0.8,0.441901247341495,"4"
"1","proportions",0.9,0.282366147927675,"4"
"1","proportions",1,0.117482136959153,"4"
"1","proportions",-1,0.0817646361120703,"5"
"1","proportions",-0.9,0.258498496680176,"5"
"1","proportions",-0.8,0.42491515851798,"5"
"1","proportions",-0.7,0.575437909243448,"5"
"1","proportions",-0.6,0.710350156853822,"5"
"1","proportions",-0.5,0.826757425558172,"5"
"1","proportions",-0.4,0.918693281228199,"5"
"1","proportions",-0.3,0.978502336117636,"5"
"1","proportions",-0.2,1.02114925765658,"5"
"1","proportions",-0.1,1.02217855216832,"5"
"1","proportions",0,1.02017551418721,"5"
"1","proportions",0.1,1.01929701034969,"5"
"1","proportions",0.2,1.01250484590085,"5"
"1","proportions",0.3,0.980343674081713,"5"
"1","proportions",0.4,0.918893767322171,"5"
"1","proportions",0.5,0.833965831155193,"5"
"1","proportions",0.6,0.714857014594414,"5"
"1","proportions",0.7,0.578592758775599,"5"
"1","proportions",0.8,0.424419732030505,"5"
"1","proportions",0.9,0.256389361309725,"5"
"1","proportions",1,0.0792195140142374,"5"
"2","equal",-1,1.00881216700683,"1"
"2","equal",-0.9,1.00396777738022,"1"
"2","equal",-0.8,1.00179355122902,"1"
"2","equal",-0.7,1.000110240023,"1"
"2","equal",-0.6,0.998704828086872,"1"
"2","equal",-0.5,0.997494257804465,"1"
"2","equal",-0.4,0.996436321295891,"1"
"2","equal",-0.3,0.995506751515421,"1"
"2","equal",-0.2,0.994690828008262,"1"
"2","equal",-0.1,0.99397968679324,"1"
"2","equal",0,0.993368551296078,"1"
"2","equal",0.1,0.992855909968918,"1"
"2","equal",0.2,0.992443274359617,"1"
"2","equal",0.3,0.992135421042454,"1"
"2","equal",0.4,0.991941213998601,"1"
"2","equal",0.5,0.991875373682853,"1"
